TIME,CH1
-1.84E-04,0.004
-1.84E-04,0.004
-1.84E-04,0
-1.84E-04,0.004
-1.84E-04,0.008
-1.84E-04,0.008
-1.84E-04,0
-1.84E-04,0
-1.84E-04,0.004
-1.84E-04,0.004
-1.84E-04,0
-1.84E-04,0.004
-1.84E-04,0.004
-1.84E-04,0
-1.84E-04,0.008
-1.84E-04,0.008
-1.84E-04,0.008
-1.84E-04,0
-1.84E-04,0
-1.83E-04,0
-1.83E-04,0.004
-1.83E-04,0.004
-1.83E-04,0
-1.83E-04,0.004
-1.83E-04,0
-1.83E-04,0
-1.83E-04,0.004
-1.83E-04,0
-1.83E-04,0.004
-1.83E-04,0
-1.83E-04,0
-1.83E-04,0
-1.83E-04,0
-1.83E-04,0.004
-1.83E-04,0.004
-1.83E-04,0.004
-1.83E-04,0
-1.83E-04,0.008
-1.83E-04,0.004
-1.83E-04,0.004
-1.83E-04,0.004
-1.83E-04,0.004
-1.83E-04,0
-1.83E-04,0
-1.82E-04,0.008
-1.82E-04,0.004
-1.82E-04,0
-1.82E-04,0.004
-1.82E-04,0.004
-1.82E-04,0
-1.82E-04,0.004
-1.82E-04,0
-1.82E-04,0
-1.82E-04,0
-1.82E-04,0.008
-1.82E-04,0
-1.82E-04,0.004
-1.82E-04,0
-1.82E-04,0.004
-1.82E-04,0
-1.82E-04,0
-1.82E-04,0.008
-1.82E-04,0
-1.82E-04,0.004
-1.82E-04,0.004
-1.82E-04,0.004
-1.82E-04,0
-1.82E-04,0.004
-1.82E-04,0
-1.81E-04,0
-1.81E-04,0.004
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0.004
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0.004
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0
-1.81E-04,0.004
-1.81E-04,0.008
-1.81E-04,0
-1.81E-04,0.004
-1.81E-04,0
-1.81E-04,0
-1.81E-04,-0.004
-1.80E-04,0
-1.80E-04,0.004
-1.80E-04,0
-1.80E-04,0
-1.80E-04,0
-1.80E-04,0.004
-1.80E-04,0
-1.80E-04,0.004
-1.80E-04,0.004
-1.80E-04,0
-1.80E-04,0
-1.80E-04,0
-1.80E-04,0.004
-1.80E-04,0
-1.80E-04,0.004
-1.80E-04,0
-1.80E-04,0.004
-1.80E-04,0.004
-1.80E-04,0
-1.80E-04,0.004
-1.80E-04,0.004
-1.80E-04,0
-1.80E-04,0.004
-1.80E-04,0.008
-1.80E-04,0.008
-1.79E-04,0.004
-1.79E-04,0.004
-1.79E-04,0
-1.79E-04,0.008
-1.79E-04,0
-1.79E-04,0
-1.79E-04,0
-1.79E-04,0
-1.79E-04,0.004
-1.79E-04,0.004
-1.79E-04,0
-1.79E-04,0.004
-1.79E-04,0
-1.79E-04,0.004
-1.79E-04,0
-1.79E-04,0
-1.79E-04,0.012
-1.79E-04,0.004
-1.79E-04,0
-1.79E-04,0
-1.79E-04,0
-1.79E-04,0.004
-1.79E-04,0
-1.79E-04,0
-1.79E-04,0.004
-1.78E-04,0.004
-1.78E-04,0.004
-1.78E-04,0
-1.78E-04,0
-1.78E-04,0
-1.78E-04,0.004
-1.78E-04,0
-1.78E-04,0.008
-1.78E-04,0.004
-1.78E-04,0
-1.78E-04,0
-1.78E-04,0
-1.78E-04,0.004
-1.78E-04,0
-1.78E-04,0.004
-1.78E-04,0.004
-1.78E-04,0.004
-1.78E-04,0.004
-1.78E-04,0
-1.78E-04,0
-1.78E-04,0
-1.78E-04,0.004
-1.78E-04,0
-1.78E-04,0
-1.78E-04,0
-1.77E-04,0
-1.77E-04,0
-1.77E-04,0
-1.77E-04,0.004
-1.77E-04,0.008
-1.77E-04,0
-1.77E-04,0
-1.77E-04,0.004
-1.77E-04,0.004
-1.77E-04,0.004
-1.77E-04,0.004
-1.77E-04,0
-1.77E-04,0.008
-1.77E-04,0
-1.77E-04,0.004
-1.77E-04,0
-1.77E-04,0.004
-1.77E-04,0
-1.77E-04,0.004
-1.77E-04,0
-1.77E-04,0
-1.77E-04,0.008
-1.77E-04,0.004
-1.77E-04,0.004
-1.77E-04,0
-1.76E-04,0.004
-1.76E-04,0
-1.76E-04,0
-1.76E-04,0
-1.76E-04,0
-1.76E-04,0.004
-1.76E-04,0.008
-1.76E-04,0.008
-1.76E-04,0
-1.76E-04,0
-1.76E-04,0
-1.76E-04,0.008
-1.76E-04,0.004
-1.76E-04,0.004
-1.76E-04,0
-1.76E-04,0.004
-1.76E-04,0
-1.76E-04,0
-1.76E-04,0
-1.76E-04,0
-1.76E-04,0
-1.76E-04,0.004
-1.76E-04,0.004
-1.76E-04,0
-1.76E-04,0.004
-1.75E-04,0
-1.75E-04,0.004
-1.75E-04,0
-1.75E-04,0
-1.75E-04,0
-1.75E-04,0
-1.75E-04,0.004
-1.75E-04,0.004
-1.75E-04,0
-1.75E-04,0.004
-1.75E-04,0.004
-1.75E-04,0.004
-1.75E-04,0
-1.75E-04,0
-1.75E-04,0
-1.75E-04,0.004
-1.75E-04,0
-1.75E-04,0.004
-1.75E-04,0
-1.75E-04,0
-1.75E-04,0.004
-1.75E-04,0
-1.75E-04,0
-1.75E-04,0
-1.75E-04,0.004
-1.74E-04,0.004
-1.74E-04,0
-1.74E-04,0
-1.74E-04,0
-1.74E-04,0.004
-1.74E-04,0
-1.74E-04,0
-1.74E-04,0.004
-1.74E-04,0
-1.74E-04,0.004
-1.74E-04,0.004
-1.74E-04,0
-1.74E-04,0.004
-1.74E-04,0
-1.74E-04,0
-1.74E-04,0
-1.74E-04,0.008
-1.74E-04,0
-1.74E-04,0.004
-1.74E-04,0
-1.74E-04,0.004
-1.74E-04,0.004
-1.74E-04,0.004
-1.74E-04,0.004
-1.74E-04,0
-1.73E-04,0
-1.73E-04,0.004
-1.73E-04,0
-1.73E-04,0.008
-1.73E-04,0.008
-1.73E-04,0.008
-1.73E-04,0
-1.73E-04,0.008
-1.73E-04,0
-1.73E-04,0
-1.73E-04,0.004
-1.73E-04,0.004
-1.73E-04,0.004
-1.73E-04,0.004
-1.73E-04,0
-1.73E-04,0
-1.73E-04,0
-1.73E-04,0
-1.73E-04,0.008
-1.73E-04,0.004
-1.73E-04,0
-1.73E-04,0
-1.73E-04,0
-1.73E-04,0
-1.73E-04,0.004
-1.72E-04,0
-1.72E-04,0
-1.72E-04,0
-1.72E-04,0
-1.72E-04,0
-1.72E-04,0.004
-1.72E-04,0.004
-1.72E-04,0
-1.72E-04,0
-1.72E-04,0
-1.72E-04,0.004
-1.72E-04,0.004
-1.72E-04,0.004
-1.72E-04,0.004
-1.72E-04,0.004
-1.72E-04,0
-1.72E-04,0.004
-1.72E-04,0.004
-1.72E-04,0
-1.72E-04,0.004
-1.72E-04,0
-1.72E-04,0
-1.72E-04,0
-1.72E-04,0.004
-1.72E-04,0
-1.71E-04,0
-1.71E-04,0
-1.71E-04,0.004
-1.71E-04,0.004
-1.71E-04,0.008
-1.71E-04,0
-1.71E-04,0
-1.71E-04,0.008
-1.71E-04,0.004
-1.71E-04,0
-1.71E-04,0.008
-1.71E-04,0
-1.71E-04,0.004
-1.71E-04,0.004
-1.71E-04,0
-1.71E-04,0.004
-1.71E-04,0.008
-1.71E-04,0.008
-1.71E-04,0
-1.71E-04,0.004
-1.71E-04,0.004
-1.71E-04,0.004
-1.71E-04,0
-1.71E-04,0
-1.71E-04,-0.004
-1.70E-04,0.008
-1.70E-04,0.008
-1.70E-04,0.004
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0.004
-1.70E-04,0
-1.70E-04,0.004
-1.70E-04,0
-1.70E-04,0.004
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0.008
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0.004
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0
-1.70E-04,0.004
-1.69E-04,0.004
-1.69E-04,0.008
-1.69E-04,0.004
-1.69E-04,0
-1.69E-04,0.004
-1.69E-04,0.004
-1.69E-04,0
-1.69E-04,0.004
-1.69E-04,0.004
-1.69E-04,0
-1.69E-04,0
-1.69E-04,0
-1.69E-04,0
-1.69E-04,0
-1.69E-04,0
-1.69E-04,0
-1.69E-04,0
-1.69E-04,0
-1.69E-04,0.004
-1.69E-04,0.004
-1.69E-04,0
-1.69E-04,0
-1.69E-04,0.004
-1.69E-04,0
-1.69E-04,0
-1.68E-04,0.008
-1.68E-04,0.004
-1.68E-04,0
-1.68E-04,0.004
-1.68E-04,0
-1.68E-04,0.004
-1.68E-04,0.008
-1.68E-04,0.004
-1.68E-04,0
-1.68E-04,0.004
-1.68E-04,0.004
-1.68E-04,0.004
-1.68E-04,0.004
-1.68E-04,0
-1.68E-04,0.004
-1.68E-04,0
-1.68E-04,0
-1.68E-04,0.004
-1.68E-04,0.004
-1.68E-04,0
-1.68E-04,0
-1.68E-04,0
-1.68E-04,0.008
-1.68E-04,0.004
-1.68E-04,0.004
-1.67E-04,0
-1.67E-04,-0.004
-1.67E-04,0.004
-1.67E-04,0
-1.67E-04,0.004
-1.67E-04,0
-1.67E-04,0
-1.67E-04,0
-1.67E-04,0.004
-1.67E-04,0
-1.67E-04,0.004
-1.67E-04,0
-1.67E-04,0
-1.67E-04,0.008
-1.67E-04,0
-1.67E-04,0
-1.67E-04,0
-1.67E-04,0
-1.67E-04,0.004
-1.67E-04,0.004
-1.67E-04,0
-1.67E-04,0
-1.67E-04,0
-1.67E-04,0.004
-1.67E-04,0.004
-1.66E-04,0
-1.66E-04,0
-1.66E-04,0.004
-1.66E-04,0.004
-1.66E-04,0
-1.66E-04,0.004
-1.66E-04,0.004
-1.66E-04,0.008
-1.66E-04,0
-1.66E-04,0.004
-1.66E-04,0.004
-1.66E-04,0
-1.66E-04,0.004
-1.66E-04,0
-1.66E-04,0.008
-1.66E-04,0.004
-1.66E-04,0
-1.66E-04,0
-1.66E-04,0.004
-1.66E-04,0.004
-1.66E-04,0
-1.66E-04,0.004
-1.66E-04,0.004
-1.66E-04,0
-1.66E-04,0
-1.65E-04,0
-1.65E-04,0
-1.65E-04,0.004
-1.65E-04,0.004
-1.65E-04,0
-1.65E-04,0
-1.65E-04,0
-1.65E-04,0
-1.65E-04,0.004
-1.65E-04,0.004
-1.65E-04,0
-1.65E-04,0.004
-1.65E-04,0
-1.65E-04,0.008
-1.65E-04,0
-1.65E-04,0.004
-1.65E-04,0.004
-1.65E-04,0.008
-1.65E-04,0.004
-1.65E-04,0.008
-1.65E-04,0
-1.65E-04,0
-1.65E-04,0.004
-1.65E-04,0.008
-1.65E-04,0
-1.64E-04,0
-1.64E-04,0.004
-1.64E-04,0.008
-1.64E-04,0
-1.64E-04,0.004
-1.64E-04,0.004
-1.64E-04,0
-1.64E-04,0
-1.64E-04,0
-1.64E-04,0.004
-1.64E-04,0
-1.64E-04,0.004
-1.64E-04,0.004
-1.64E-04,0.004
-1.64E-04,0
-1.64E-04,0
-1.64E-04,0
-1.64E-04,-0.004
-1.64E-04,0.004
-1.64E-04,0.004
-1.64E-04,0.008
-1.64E-04,0.004
-1.64E-04,0.004
-1.64E-04,0
-1.64E-04,0
-1.63E-04,0
-1.63E-04,0
-1.63E-04,0.004
-1.63E-04,0.004
-1.63E-04,0.004
-1.63E-04,0
-1.63E-04,0.004
-1.63E-04,0.004
-1.63E-04,0
-1.63E-04,0.004
-1.63E-04,0
-1.63E-04,0.004
-1.63E-04,0
-1.63E-04,0
-1.63E-04,0.004
-1.63E-04,0.004
-1.63E-04,0
-1.63E-04,0
-1.63E-04,0.008
-1.63E-04,0
-1.63E-04,0
-1.63E-04,0
-1.63E-04,0
-1.63E-04,0.008
-1.63E-04,0.004
-1.62E-04,0.008
-1.62E-04,0.008
-1.62E-04,0
-1.62E-04,0
-1.62E-04,0.008
-1.62E-04,0.004
-1.62E-04,0
-1.62E-04,0.008
-1.62E-04,0
-1.62E-04,0.004
-1.62E-04,0.004
-1.62E-04,0.004
-1.62E-04,0
-1.62E-04,0.004
-1.62E-04,0
-1.62E-04,0.004
-1.62E-04,0.004
-1.62E-04,0
-1.62E-04,0.004
-1.62E-04,0.004
-1.62E-04,-0.004
-1.62E-04,0
-1.62E-04,0.004
-1.62E-04,0
-1.62E-04,0.004
-1.61E-04,0
-1.61E-04,0
-1.61E-04,0.004
-1.61E-04,0
-1.61E-04,0
-1.61E-04,0.012
-1.61E-04,0
-1.61E-04,0
-1.61E-04,0
-1.61E-04,0.004
-1.61E-04,0.004
-1.61E-04,0.004
-1.61E-04,0.004
-1.61E-04,0
-1.61E-04,0.004
-1.61E-04,0.004
-1.61E-04,0.004
-1.61E-04,0
-1.61E-04,0.004
-1.61E-04,0.004
-1.61E-04,0.004
-1.61E-04,0
-1.61E-04,0
-1.61E-04,0
-1.61E-04,0
-1.60E-04,0
-1.60E-04,0.004
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0.004
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0.004
-1.60E-04,0
-1.60E-04,0.008
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0.004
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0
-1.60E-04,0.004
-1.60E-04,0.008
-1.60E-04,0.004
-1.60E-04,0.008
-1.59E-04,0
-1.59E-04,0.004
-1.59E-04,0.004
-1.59E-04,0.004
-1.59E-04,0
-1.59E-04,0.004
-1.59E-04,0
-1.59E-04,0.004
-1.59E-04,0.004
-1.59E-04,0.004
-1.59E-04,0.004
-1.59E-04,0
-1.59E-04,0
-1.59E-04,0
-1.59E-04,0
-1.59E-04,0
-1.59E-04,0.004
-1.59E-04,0
-1.59E-04,0
-1.59E-04,0.004
-1.59E-04,0.004
-1.59E-04,0.004
-1.59E-04,0.004
-1.59E-04,0.004
-1.59E-04,0
-1.58E-04,0
-1.58E-04,0
-1.58E-04,0.004
-1.58E-04,0.004
-1.58E-04,0
-1.58E-04,-0.004
-1.58E-04,0
-1.58E-04,0.004
-1.58E-04,0
-1.58E-04,0
-1.58E-04,0.008
-1.58E-04,0.004
-1.58E-04,0.004
-1.58E-04,0.008
-1.58E-04,0
-1.58E-04,0.004
-1.58E-04,0
-1.58E-04,0.004
-1.58E-04,0.004
-1.58E-04,0
-1.58E-04,0.004
-1.58E-04,0.004
-1.58E-04,0
-1.58E-04,0.008
-1.58E-04,0.008
-1.57E-04,0.004
-1.57E-04,0
-1.57E-04,0.004
-1.57E-04,0
-1.57E-04,0
-1.57E-04,0.004
-1.57E-04,0
-1.57E-04,0
-1.57E-04,0.004
-1.57E-04,0
-1.57E-04,0.004
-1.57E-04,0.004
-1.57E-04,0.004
-1.57E-04,0
-1.57E-04,0
-1.57E-04,0.004
-1.57E-04,0
-1.57E-04,0.004
-1.57E-04,0
-1.57E-04,0
-1.57E-04,0
-1.57E-04,0.004
-1.57E-04,0.004
-1.57E-04,0
-1.57E-04,-0.004
-1.56E-04,0
-1.56E-04,0.004
-1.56E-04,0
-1.56E-04,0.004
-1.56E-04,0.004
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0.004
-1.56E-04,0.004
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0
-1.56E-04,0.004
-1.56E-04,0.004
-1.56E-04,0.004
-1.56E-04,0.004
-1.56E-04,0
-1.56E-04,0.004
-1.55E-04,0
-1.55E-04,0.004
-1.55E-04,0.004
-1.55E-04,0
-1.55E-04,0.004
-1.55E-04,0
-1.55E-04,0.004
-1.55E-04,0
-1.55E-04,0.008
-1.55E-04,0
-1.55E-04,0
-1.55E-04,0.004
-1.55E-04,0
-1.55E-04,0.004
-1.55E-04,0.008
-1.55E-04,0.004
-1.55E-04,0.004
-1.55E-04,0
-1.55E-04,0
-1.55E-04,0
-1.55E-04,0
-1.55E-04,0
-1.55E-04,0.004
-1.55E-04,0.004
-1.55E-04,0.008
-1.54E-04,0
-1.54E-04,0
-1.54E-04,0
-1.54E-04,0.004
-1.54E-04,0
-1.54E-04,0
-1.54E-04,0
-1.54E-04,0
-1.54E-04,0.004
-1.54E-04,0.004
-1.54E-04,0
-1.54E-04,0.008
-1.54E-04,0
-1.54E-04,0.004
-1.54E-04,0.008
-1.54E-04,0.012
-1.54E-04,0.004
-1.54E-04,0.004
-1.54E-04,0.008
-1.54E-04,0
-1.54E-04,0
-1.54E-04,0
-1.54E-04,0.004
-1.54E-04,0.004
-1.54E-04,0.004
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0.004
-1.53E-04,0.004
-1.53E-04,0.004
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0.008
-1.53E-04,0
-1.53E-04,0.004
-1.53E-04,0.004
-1.53E-04,0.004
-1.53E-04,0
-1.53E-04,0.004
-1.53E-04,0
-1.53E-04,0
-1.53E-04,0.008
-1.53E-04,0.004
-1.52E-04,0
-1.52E-04,0
-1.52E-04,0
-1.52E-04,0
-1.52E-04,0.008
-1.52E-04,0
-1.52E-04,0
-1.52E-04,0.004
-1.52E-04,0
-1.52E-04,0
-1.52E-04,0
-1.52E-04,0
-1.52E-04,0.004
-1.52E-04,0
-1.52E-04,0
-1.52E-04,0.004
-1.52E-04,0.008
-1.52E-04,0
-1.52E-04,0
-1.52E-04,0.008
-1.52E-04,0
-1.52E-04,0.004
-1.52E-04,0
-1.52E-04,0.004
-1.52E-04,0.004
-1.51E-04,0
-1.51E-04,0
-1.51E-04,0.004
-1.51E-04,0
-1.51E-04,0
-1.51E-04,0.004
-1.51E-04,0.004
-1.51E-04,0.004
-1.51E-04,0.004
-1.51E-04,0.004
-1.51E-04,0
-1.51E-04,0.008
-1.51E-04,0.004
-1.51E-04,0
-1.51E-04,0.004
-1.51E-04,0.004
-1.51E-04,0
-1.51E-04,0.004
-1.51E-04,0
-1.51E-04,0.004
-1.51E-04,0.008
-1.51E-04,0.004
-1.51E-04,0
-1.51E-04,0
-1.51E-04,0
-1.50E-04,0
-1.50E-04,0
-1.50E-04,0
-1.50E-04,0
-1.50E-04,0.008
-1.50E-04,0.004
-1.50E-04,0.004
-1.50E-04,0
-1.50E-04,0
-1.50E-04,0.004
-1.50E-04,0
-1.50E-04,0.004
-1.50E-04,0.004
-1.50E-04,0
-1.50E-04,0.004
-1.50E-04,0.004
-1.50E-04,0
-1.50E-04,0.004
-1.50E-04,0.004
-1.50E-04,0.012
-1.50E-04,0.004
-1.50E-04,0
-1.50E-04,0
-1.50E-04,0
-1.50E-04,0.004
-1.49E-04,0.008
-1.49E-04,0
-1.49E-04,0.004
-1.49E-04,0
-1.49E-04,0
-1.49E-04,0.004
