TIME,CH1
-1.8126e-04,0
-1.8122e-04,0
-1.8118e-04,0.004
-1.8114e-04,0.004
-1.8110e-04,0.004
-1.8106e-04,0
-1.8102e-04,0.004
-1.8098e-04,0
-1.8094e-04,0.004
-1.8090e-04,0
-1.8086e-04,0
-1.8082e-04,0
-1.8078e-04,0.004
-1.8074e-04,0.004
-1.8070e-04,0
-1.8066e-04,0
-1.8062e-04,0.004
-1.8058e-04,0
-1.8054e-04,0
-1.8050e-04,0.004
-1.8046e-04,0
-1.8042e-04,0
-1.8038e-04,0
-1.8034e-04,0.004
-1.8030e-04,0
-1.8026e-04,0.004
-1.8022e-04,0
-1.8018e-04,0
-1.8014e-04,0
-1.8010e-04,0
-1.8006e-04,0
-1.8002e-04,0
-1.7998e-04,0
-1.7994e-04,0
-1.7990e-04,0
-1.7986e-04,-0.004
-1.7982e-04,0.004
-1.7978e-04,0
-1.7974e-04,0.004
-1.7970e-04,0
-1.7966e-04,0.004
-1.7962e-04,0
-1.7958e-04,0
-1.7954e-04,0
-1.7950e-04,0.004
-1.7946e-04,0
-1.7942e-04,0
-1.7938e-04,0
-1.7934e-04,0
-1.7930e-04,0
-1.7926e-04,0
-1.7922e-04,0
-1.7918e-04,0
-1.7914e-04,-0.004
-1.7910e-04,0
-1.7906e-04,-0.004
-1.7902e-04,0.004
-1.7898e-04,0
-1.7894e-04,0
-1.7890e-04,0
-1.7886e-04,0
-1.7882e-04,0
-1.7878e-04,0
-1.7874e-04,0
-1.7870e-04,0
-1.7866e-04,0
-1.7862e-04,0.004
-1.7858e-04,0
-1.7854e-04,0
-1.7850e-04,0
-1.7846e-04,0
-1.7842e-04,0.004
-1.7838e-04,0.004
-1.7834e-04,0
-1.7830e-04,0.004
-1.7826e-04,0
-1.7822e-04,0
-1.7818e-04,0
-1.7814e-04,0
-1.7810e-04,0
-1.7806e-04,0.004
-1.7802e-04,0
-1.7798e-04,0.004
-1.7794e-04,0
-1.7790e-04,0
-1.7786e-04,0
-1.7782e-04,0
-1.7778e-04,0
-1.7774e-04,0
-1.7770e-04,0
-1.7766e-04,0
-1.7762e-04,0.004
-1.7758e-04,0
-1.7754e-04,0
-1.7750e-04,0
-1.7746e-04,0.004
-1.7742e-04,0
-1.7738e-04,0
-1.7734e-04,0.004
-1.7730e-04,0
-1.7726e-04,0
-1.7722e-04,0.004
-1.7718e-04,0
-1.7714e-04,0
-1.7710e-04,0
-1.7706e-04,0
-1.7702e-04,0.004
-1.7698e-04,0
-1.7694e-04,0
-1.7690e-04,0
-1.7686e-04,0
-1.7682e-04,0
-1.7678e-04,0
-1.7674e-04,0
-1.7670e-04,0
-1.7666e-04,0.004
-1.7662e-04,0
-1.7658e-04,0
-1.7654e-04,0
-1.7650e-04,0
-1.7646e-04,0
-1.7642e-04,0.004
-1.7638e-04,0
-1.7634e-04,0
-1.7630e-04,0.004
-1.7626e-04,0
-1.7622e-04,0.004
-1.7618e-04,0
-1.7614e-04,0
